Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
06/30/2005--06/25/2006,0.0,0.0,0.0,0.0,0.0,0.0
07/30/2005--07/25/2006,0.0,0.0,0.0,0.0,0.0,0.0
08/29/2005--08/24/2006,0.0,0.0,0.0,0.0,0.0,0.0
09/28/2005--09/23/2006,0.0,0.0,0.0,0.0,0.0,0.0
10/28/2005--10/23/2006,0.0,0.0,0.0,0.0,0.0,0.0
11/27/2005--11/22/2006,0.0,0.0,0.0,0.0,0.0,0.0
12/27/2005--12/22/2006,0.0,0.0,0.0,0.0,0.0,0.0
01/26/2006--01/21/2007,0.0,0.0,0.0,0.0,0.0,0.0
02/25/2006--02/20/2007,0.0,0.0,0.0,0.0,0.0,0.0
03/27/2006--03/22/2007,0.0,0.0,0.0,0.0,0.0,0.0
04/26/2006--04/21/2007,0.0,0.0,0.0,0.0,0.0,0.0
05/26/2006--05/21/2007,0.0,0.0,0.0,0.0,0.0,0.0
06/25/2006--06/20/2007,0.0,0.0,0.0,0.0,0.0,0.0
07/25/2006--07/20/2007,0.0,0.0,0.0,0.0,0.0,0.0
08/24/2006--08/19/2007,0.0,0.0,0.0,0.0,0.0,0.0
09/23/2006--09/18/2007,0.0,0.0,0.0,0.0,0.0,0.0
10/23/2006--10/18/2007,0.0,0.0,0.0,0.0,0.0,0.0
11/22/2006--11/17/2007,4.0,3.0,75.0,1.0,1.0,100.0,3.0,2.0,66.66666666666666
12/22/2006--12/17/2007,9.0,3.0,33.33333333333333,6.0,1.0,16.666666666666664,3.0,2.0,66.66666666666666
01/21/2007--01/16/2008,23.0,14.0,60.86956521739131,15.0,8.0,53.333333333333336,8.0,6.0,75.0
02/20/2007--02/15/2008,24.0,14.0,58.333333333333336,16.0,8.0,50.0,8.0,6.0,75.0
03/22/2007--03/16/2008,35.0,17.0,48.57142857142857,24.0,8.0,33.33333333333333,11.0,9.0,81.81818181818183
04/21/2007--04/15/2008,35.0,17.0,48.57142857142857,24.0,8.0,33.33333333333333,11.0,9.0,81.81818181818183
05/21/2007--05/15/2008,42.0,21.0,50.0,27.0,9.0,33.33333333333333,15.0,12.0,80.0
06/20/2007--06/14/2008,44.0,22.0,50.0,29.0,10.0,34.48275862068966,15.0,12.0,80.0
07/20/2007--07/14/2008,48.0,22.0,45.83333333333333,33.0,10.0,30.303030303030305,15.0,12.0,80.0
08/19/2007--08/13/2008,60.0,27.0,45.0,44.0,14.0,31.818181818181817,16.0,13.0,81.25
09/18/2007--09/12/2008,66.0,31.0,46.96969696969697,48.0,18.0,37.5,18.0,13.0,72.22222222222221
10/18/2007--10/12/2008,68.0,34.0,50.0,51.0,21.0,41.17647058823529,17.0,13.0,76.47058823529412
11/17/2007--11/11/2008,69.0,33.0,47.82608695652174,54.0,22.0,40.74074074074074,15.0,11.0,73.33333333333333
12/17/2007--12/11/2008,72.0,38.0,52.77777777777778,57.0,27.0,47.368421052631575,15.0,11.0,73.33333333333333
01/16/2008--01/10/2009,65.0,30.0,46.15384615384615,52.0,23.0,44.230769230769226,13.0,7.0,53.84615384615385
02/15/2008--02/09/2009,60.0,33.0,55.00000000000001,48.0,27.0,56.25,12.0,6.0,50.0
03/16/2008--03/11/2009,59.0,31.0,52.54237288135594,45.0,27.0,60.0,14.0,4.0,28.57142857142857
