Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
12/21/2008--12/16/2009,13,10,70778.43,80703.27,81001.75,76.9230769231,12,9,75,1,1,100
09/22/2008--09/17/2009,16,13,62229.34,66531.54,70151.72,81.25,14,11,78.5714285714,2,2,100
02/14/2010--02/09/2011,20,13,57923.37,60590.83,60948.6,65,15,12,80,5,1,20
08/23/2008--08/18/2009,14,12,48080.47,48842.42,52765.83,85.7142857143,12,10,83.3333333333,2,2,100
11/16/2009--11/11/2010,19,14,40956.15,44953.87,45984.82,73.6842105263,14,12,85.7142857143,5,2,40
04/10/2011--04/04/2012,26,14,35226.9,35689.94,37956.82,53.8461538462,15,9,60,11,5,45.4545454545
10/17/2009--10/12/2010,20,15,34886.98,36756.1,38741.76,75,15,13,86.6666666667,5,2,40
08/08/2011--08/02/2012,26,17,34079.71,35834.12,37617.96,65.3846153846,17,11,64.7058823529,9,6,66.6666666667
07/09/2011--07/03/2012,23,15,32287.95,33524.88,35308.72,65.2173913043,15,10,66.6666666667,8,5,62.5
06/24/2008--06/19/2009,17,14,32097.08,31582.79,36015.82,82.3529411765,14,12,85.7142857143,3,2,66.6666666667
05/10/2011--05/04/2012,23,15,28917.89,29897.63,31919.34,65.2173913043,15,11,73.3333333333,8,4,50
05/25/2008--05/20/2009,15,12,24095.75,23102.65,27694.13,80,12,10,83.3333333333,3,2,66.6666666667
03/16/2010--03/11/2011,23,13,23243.12,30495.27,31673.64,56.5217391304,16,11,68.75,7,2,28.5714285714
06/30/2007--06/24/2008,10,6,20774.85,23608.68,27799.97,60,8,5,62.5,2,1,50
05/01/2007--04/25/2008,8,5,20218.17,23289.13,27164.3,62.5,6,4,66.6666666667,2,1,50
07/30/2007--07/24/2008,10,6,17407.01,18944.3,24432.13,60,8,5,62.5,2,1,50
08/18/2009--08/13/2010,19,13,16510.86,16619.15,19130.66,68.4210526316,15,11,73.3333333333,4,2,50
07/19/2009--07/14/2010,12,8,15365.54,16013.87,17985.34,66.6666666667,10,7,70,2,1,50
01/10/2011--01/05/2012,32,19,12740.69,9130.05,13237.14,59.375,20,13,65,12,6,50
01/29/2013--01/24/2014,24,16,10873.18,15839.77,16782.29,66.6666666667,17,10,58.8235294118,7,6,85.7142857143
04/20/2009--04/15/2010,15,11,8082.49,57556.86,58275.43,73.3333333333,13,10,76.9230769231,2,1,50
04/01/2007--03/26/2008,6,3,7264.79,3440.02,9870.34,50,4,2,50,2,1,50
12/11/2010--12/06/2011,29,16,7106.5,3346.14,7380.11,55.1724137931,17,10,58.8235294118,12,6,50
12/06/2011--11/30/2012,22,18,7069.24,16410.77,18798.69,81.8181818182,17,15,88.2352941176,5,3,60
02/04/2012--01/29/2013,19,16,6802.55,120.52,13673.8,84.2105263158,14,13,92.8571428571,5,3,60
03/05/2012--02/28/2013,19,15,6102.05,-1330.6,13392.87,78.9473684211,16,13,81.25,3,2,66.6666666667
09/12/2010--09/07/2011,24,9,5914.93,16228.4,20548.93,37.5,14,6,42.8571428571,10,3,30
03/21/2009--03/16/2010,14,11,5878.58,44585.58,45820.08,78.5714285714,13,10,76.9230769231,1,1,100
01/20/2009--01/15/2010,14,11,4322.93,43007.32,44182.18,78.5714285714,13,10,76.9230769231,1,1,100
06/03/2012--05/29/2013,18,16,3592.36,-7075.41,11523.65,88.8888888889,14,12,85.7142857143,4,4,100
04/29/2013--04/24/2014,27,17,3543.42,1345.79,7009.54,62.962962963,17,10,58.8235294118,10,7,70
07/24/2008--07/19/2009,14,11,3535.5,3918.97,7424.96,78.5714285714,11,9,81.8181818182,3,2,66.6666666667
10/07/2011--10/01/2012,20,16,3250.2,6484.73,8169.93,80,13,11,84.6153846154,7,5,71.4285714286
03/26/2008--03/21/2009,13,10,3139.68,1836.68,5743.68,76.9230769231,10,8,80,3,2,66.6666666667
04/04/2012--03/30/2013,15,12,3115.65,9700.95,10990.43,80,11,9,81.8181818182,4,3,75
09/01/2012--08/27/2013,19,13,3095.26,-3454.05,6420.57,68.4210526316,15,10,66.6666666667,4,3,75
