Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,Strategy vs Market,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01-01-2007--12-27-2007,1,29,15,51.724137931,-5684.44,-5.68444,4.4563910306,0,10,4,40,19,11,57.8947368421
01-31-2007--01-26-2008,2,39,24,61.5384615385,41408.99,41.40899,-7.4504347826,1,10,4,40,29,20,68.9655172414
03-02-2007--02-25-2008,3,49,29,59.1836734694,42950.78,42.95078,-0.9663229249,1,18,7,38.8888888889,31,22,70.9677419355
04-01-2007--03-26-2008,4,63,38,60.3174603175,50447.1,50.4471,-6.3027574564,1,27,13,48.1481481481,36,25,69.4444444444
05-01-2007--04-25-2008,5,74,42,56.7567567568,26579.87,26.57987,-6.1007600726,1,36,17,47.2222222222,38,25,65.7894736842
05-31-2007--05-25-2008,6,84,43,51.1904761905,26141.18,26.14118,-10.2269762588,1,40,18,45,44,25,56.8181818182
06-30-2007--06-24-2008,7,94,49,52.1276595745,39790.01,39.79001,-13.5713815139,1,40,18,45,54,31,57.4074074074
07-30-2007--07-24-2008,8,102,53,51.9607843137,21045.74,21.04574,-14.8391912064,1,41,18,43.9024390244,61,35,57.3770491803
08-29-2007--08-23-2008,9,104,54,51.9230769231,12387.35,12.38735,-11.6214003003,1,43,19,44.1860465116,61,35,57.3770491803
09-28-2007--09-22-2008,10,109,58,53.2110091743,3855.23,3.85523,-20.605583956,1,41,20,48.7804878049,68,38,55.8823529412
10-28-2007--10-22-2008,11,102,52,50.9803921569,-14759.28,-14.75928,-41.2508921041,1,39,19,48.7179487179,63,33,52.380952381
11-27-2007--11-21-2008,12,102,50,49.0196078431,-12364.19,-12.36419,-44.2238900189,1,45,21,46.6666666667,57,29,50.8771929825
12-27-2007--12-21-2008,13,100,50,50,-7224.16,-7.22416,-40.279000474,1,44,20,45.4545454545,56,30,53.5714285714
01-26-2008--01-20-2009,14,99,44,44.4444444444,-40527.77,-40.52777,-40.4244306418,0,47,21,44.6808510638,52,23,44.2307692308
02-25-2008--02-19-2009,15,95,41,43.1578947368,-40871.43,-40.87143,-43.0707055997,1,40,19,47.5,55,22,40
03-26-2008--03-21-2009,16,89,38,42.6966292135,-30768.3,-30.7683,-42.4099099099,1,37,17,45.9459459459,52,21,40.3846153846
04-25-2008--04-20-2009,17,79,34,43.0379746835,-33577,-33.577,-40.2363896848,1,29,13,44.8275862069,50,21,42
05-25-2008--05-20-2009,18,74,35,47.2972972973,-22704.53,-22.70453,-34.7252271744,1,29,14,48.275862069,45,21,46.6666666667
06-24-2008--06-19-2009,19,72,34,47.2222222222,-31061.63,-31.06163,-29.8422135834,0,32,16,50,40,18,45
07-24-2008--07-19-2009,20,71,33,46.4788732394,-19790.51,-19.79051,-25.0019918732,1,35,18,51.4285714286,36,15,41.6666666667
08-23-2008--08-18-2009,21,67,32,47.7611940299,-11735.92,-11.73592,-21.9579428211,1,31,17,54.8387096774,36,15,41.6666666667
09-22-2008--09-17-2009,22,66,29,43.9393939394,-5151.82,-5.15182,-11.9613670134,1,35,18,51.4285714286,31,11,35.4838709677
10-22-2008--10-17-2009,23,67,29,43.2835820896,-16467.24,-16.46724,20.2540033131,0,35,18,51.4285714286,32,11,34.375
11-21-2008--11-16-2009,24,61,29,47.5409836066,-4842.8,-4.8428,39.8516096579,0,29,17,58.6206896552,32,12,37.5
12-21-2008--12-16-2009,25,60,31,51.6666666667,7711.41,7.71141,28.0955662761,0,29,19,65.5172413793,31,12,38.7096774194
01-20-2009--01-15-2010,26,57,32,56.1403508772,12486.33,12.48633,41.0450539903,0,30,22,73.3333333333,27,10,37.037037037
02-19-2009--02-14-2010,27,59,34,57.6271186441,6378.09,6.37809,38.1921438713,0,29,21,72.4137931034,30,13,43.3333333333
03-21-2009--03-16-2010,28,55,33,60,-6719.46,-6.71946,41.5491245136,0,30,22,73.3333333333,25,11,44
04-20-2009--04-15-2010,29,55,34,61.8181818182,-1058.27,-1.05827,45.3793599425,0,30,23,76.6666666667,25,11,44
05-20-2009--05-15-2010,30,55,36,65.4545454545,-1563.5,-1.5635,25.8313998453,0,28,23,82.1428571429,27,13,48.1481481481
06-19-2009--06-14-2010,31,51,35,68.6274509804,9030.64,9.03064,18.979791395,0,28,24,85.7142857143,23,11,47.8260869565
07-19-2009--07-14-2010,32,53,35,66.0377358491,14132.54,14.13254,15.2631634273,0,30,23,76.6666666667,23,12,52.1739130435
08-18-2009--08-13-2010,33,61,42,68.8524590164,30269.58,30.26958,9.3046725199,1,36,28,77.7777777778,25,14,56
09-17-2009--09-12-2010,34,59,45,76.2711864407,47090.25,47.09025,4.5307079231,1,36,30,83.3333333333,23,15,65.2173913043
10-17-2009--10-12-2010,35,60,48,80,76671.15,76.67115,6.5761909099,1,39,33,84.6153846154,21,15,71.4285714286
11-16-2009--11-11-2010,36,59,47,79.6610169492,66049.63,66.04963,9.3741570003,1,41,34,82.9268292683,18,13,72.2222222222
12-16-2009--12-11-2010,37,56,41,73.2142857143,42633.19,42.63319,11.6212338594,1,38,29,76.3157894737,18,12,66.6666666667
01-15-2010--01-10-2011,38,55,38,69.0909090909,35265.33,35.26533,11.7388243576,1,38,26,68.4210526316,17,12,70.5882352941
02-14-2010--02-09-2011,39,57,39,68.4210526316,49379.97,49.37997,20.5294332058,1,44,31,70.4545454545,13,8,61.5384615385
